Objective ID,Objective Statement,Requirement ID,Requirement Type,Requirement Statement,Acceptance Criteria IDs,Verification ID,Verification Method,Implementation Owner,Test Owner,Status,Notes
OBJ-004,"Add Mosaic workflow without regressing existing Ad-hocs behavior.",REQ-F-001,Functional,"The system shall render Collection Requests with sibling tabs Ad-hocs and Mosaic.",AC-001,TC-001,Inspection,QGIS Plugin Team,QA,Proposed,
OBJ-001,"Enable operators to convert an AOI into priced mosaic tiles ready for tasking.",REQ-F-002,Functional,"The system shall render nested tabs Create and Tracking inside Mosaic.",AC-002,TC-002,Inspection,QGIS Plugin Team,QA,Proposed,
OBJ-001,"Enable operators to convert an AOI into priced mosaic tiles ready for tasking.",REQ-F-003,Functional,"The system shall accept a valid AOI polygon input in Mosaic/Create using existing plugin AOI selection mechanisms.",AC-003,TC-003,Integration Test,QGIS Plugin Team,QA,Proposed,
OBJ-001,"Enable operators to convert an AOI into priced mosaic tiles ready for tasking.",REQ-F-004,Functional,"The system shall generate a 10,000m x 10,000m world grid and clip it to AOI when Breakdown AOI is executed.",AC-004,TC-004,Analysis + Test,Geospatial Engineering,Geospatial QA,Proposed,
OBJ-001,"Enable operators to convert an AOI into priced mosaic tiles ready for tasking.",REQ-F-005,Functional,"The system shall discard empty intersections and assign a unique tile_id to each resulting clipped tile within a project.",AC-005,TC-005,Unit + Integration Test,Geospatial Engineering,QA,Proposed,
OBJ-001,"Enable operators to convert an AOI into priced mosaic tiles ready for tasking.",REQ-F-006,Functional,"The system shall display clipped tiles on the map and in a table with columns tile_id and clipped_area_km2.",AC-006,TC-006,Integration Test,QGIS Plugin Team,QA,Proposed,
OBJ-001,"Enable operators to convert an AOI into priced mosaic tiles ready for tasking.",REQ-F-007,Functional,"The system shall compute and display estimated_price_usd = sum(clipped_area_km2) * 8.0 after AOI breakdown.",AC-007,TC-007,Unit Test,QGIS Plugin Team,QA,Proposed,
OBJ-002,"Ensure every tile submission attempt is persisted and traceable.",REQ-F-008,Functional,"The system shall require Project ID entry before enabling Accept in Mosaic/Create.",AC-008,TC-008,UI/Integration Test,QGIS Plugin Team,QA,Proposed,
OBJ-002,"Ensure every tile submission attempt is persisted and traceable.",REQ-F-009,Functional,"The system shall reject Project ID values that are empty, contain filesystem-unsafe characters, or exceed 64 characters.",AC-009,TC-009,UI/Integration Test,QGIS Plugin Team,QA,Proposed,
OBJ-002,"Ensure every tile submission attempt is persisted and traceable.",REQ-F-010,Functional,"The system shall reject Accept when Project ID already exists in the active campaign mosaic namespace.",AC-010,TC-010,Integration Test,QGIS Plugin Team,QA,Proposed,
OBJ-002,"Ensure every tile submission attempt is persisted and traceable.",REQ-F-011,Functional,"The system shall create project folder <campaign>/collections/mosaic/<project_id>/ when Accept succeeds.",AC-011,TC-011,Integration Test,QGIS Plugin Team,QA,Proposed,
OBJ-001,"Enable operators to convert an AOI into priced mosaic tiles ready for tasking.",REQ-F-012,Functional,"The system shall write a shapefile of clipped tile geometries to the project folder with fields tile_id and clipped_area_km2.",AC-012,TC-012,Geospatial Test,Geospatial Engineering,Geospatial QA,Proposed,
OBJ-002,"Ensure every tile submission attempt is persisted and traceable.",REQ-F-013,Functional,"The system shall create a SQLite database in the project folder with tables for project, tile, attempt, and tile status history.",AC-013,TC-013,Integration Test,QGIS Plugin Team,QA,Proposed,
OBJ-002,"Ensure every tile submission attempt is persisted and traceable.",REQ-F-014,Functional,"The system shall submit one area-collect request per tile after project acceptance.",AC-014,TC-014,Integration Test,Tasking Integration,Integration QA,Proposed,
OBJ-002,"Ensure every tile submission attempt is persisted and traceable.",REQ-F-015,Functional,"The system shall persist one attempt record per submission with tile_id, collection_id when available, request timestamp, and error details when failed.",AC-015,TC-015,Integration Test,QGIS Plugin Team,QA,Proposed,
OBJ-002,"Ensure every tile submission attempt is persisted and traceable.",REQ-F-016,Functional,"The system shall continue processing remaining tiles when one tile submission fails.",AC-016,TC-016,Resilience Test,Tasking Integration,Integration QA,Proposed,
OBJ-003,"Support tile-level tracking with manual QA acceptance and controlled re-tasking.",REQ-F-017,Functional,"The system shall let users select a mosaic project in Tracking and list tiles with tile_id, clipped_area_km2, api_status, qa_status, latest_collection_id, attempt_count, and last_sync_at.",AC-017,TC-017,UI/Integration Test,QGIS Plugin Team,QA,Proposed,
OBJ-003,"Support tile-level tracking with manual QA acceptance and controlled re-tasking.",REQ-F-018,Functional,"The system shall refresh API status only for tiles where qa_status != Accepted when Refresh Status is clicked.",AC-018,TC-018,Integration Test,Tasking Integration,QA,Proposed,
OBJ-003,"Support tile-level tracking with manual QA acceptance and controlled re-tasking.",REQ-F-019,Functional,"The system shall allow users to set qa_status=Accepted per tile and persist accepted_at and accepted_by.",AC-019,TC-019,Integration Test,QGIS Plugin Team,QA,Proposed,
OBJ-003,"Support tile-level tracking with manual QA acceptance and controlled re-tasking.",REQ-F-020,Functional,"The system shall allow Re-task only for tiles where qa_status != Accepted, creating a new attempt and updating latest_collection_id on success.",AC-020,TC-020,Integration Test,QGIS Plugin Team,QA,Proposed,
OBJ-002,"Ensure every tile submission attempt is persisted and traceable.",REQ-F-021,Functional,"The system shall load project, tile, and attempt state from SQLite when the plugin restarts and a project is reopened.",AC-021,TC-021,Integration Test,QGIS Plugin Team,QA,Proposed,
OBJ-001,"Enable operators to convert an AOI into priced mosaic tiles ready for tasking.",REQ-BR-001,Business Rule,"The system shall compute price from AOI-intersection area, not full 100 km2 tile area.",AC-022,TC-022,Analysis + Unit Test,Product Owner,QA,Proposed,
OBJ-003,"Support tile-level tracking with manual QA acceptance and controlled re-tasking.",REQ-BR-002,Business Rule,"The system shall not auto-set qa_status=Accepted when API reports Completed.",AC-023,TC-023,Integration Test,Product Owner,QA,Proposed,
OBJ-003,"Support tile-level tracking with manual QA acceptance and controlled re-tasking.",REQ-BR-003,Business Rule,"The system shall exclude qa_status=Accepted tiles from both Refresh Status and Re-task actions.",AC-024,TC-024,Integration Test,Product Owner,QA,Proposed,
OBJ-002,"Ensure every tile submission attempt is persisted and traceable.",REQ-BR-004,Business Rule,"The system shall enforce Project ID uniqueness per campaign and allow the same ID in different campaigns.",AC-025,TC-025,Integration Test,Product Owner,QA,Proposed,
OBJ-001,"Enable operators to convert an AOI into priced mosaic tiles ready for tasking.",REQ-NF-001,Non-Functional,"The system shall produce deterministic tile sets and pricing such that repeated breakdowns of identical AOI/settings vary by no more than 0.01 km2 total area.",AC-026,TC-026,Determinism Test,Geospatial Engineering,QA,Proposed,
OBJ-002,"Ensure every tile submission attempt is persisted and traceable.",REQ-NF-002,Non-Functional,"The system shall wrap project creation and persistence writes in transactions so failures do not leave orphan tile-attempt links.",AC-027,TC-027,Failure Injection Test,QGIS Plugin Team,QA,Proposed,
OBJ-001,"Enable operators to convert an AOI into priced mosaic tiles ready for tasking.",REQ-NF-003,Non-Functional,"The system shall complete AOI breakdown plus price computation in <= 20 s for inputs producing up to 2,000 clipped tiles on reference operator hardware.",AC-028,TC-028,Performance Test,Geospatial Engineering,Performance QA,Proposed,
OBJ-002,"Ensure every tile submission attempt is persisted and traceable.",REQ-NF-004,Non-Functional,"The system shall record audit fields created_at, updated_at, and mutation source for tile status transitions and re-task actions.",AC-029,TC-029,Integration Test,QGIS Plugin Team,QA,Proposed,
