Objective ID,Objective Statement,Requirement ID,Requirement Type,Requirement Statement,Acceptance Criteria IDs,Verification ID,Verification Method,Implementation Owner,Test Owner,Status,Notes
OBJ-001,Create a saved raster mosaic from QGIS project layers without leaving Image Mate,REQ-F-001,Functional,The plugin shall expose a Mosaicking Studio action under Geoprocessing,AC-001,TC-002,Static contract test,QGIS plugin,QGIS plugin,Implemented,Static contract passed; GUI demo pending
OBJ-001,Create a saved raster mosaic from QGIS project layers without leaving Image Mate,REQ-F-002,Functional,The studio shall allow selection of at least two current project raster layers,AC-002,TC-001,Automated test,QGIS plugin,QGIS plugin,Implemented,Adapter validation passed; GUI demo pending
OBJ-001,Create a saved raster mosaic from QGIS project layers without leaving Image Mate,REQ-F-003,Functional,The studio shall validate a local GeoTIFF output and explicit overwrite,AC-003,TC-001,Automated test,QGIS plugin,QGIS plugin,Validated,Automated validation passed
OBJ-001,Create a saved raster mosaic from QGIS project layers without leaving Image Mate,REQ-F-004,Functional,The plugin shall run the ported Mosaicker_v2 engine,AC-004,TC-001;TC-003;TC-005,Automated test,QGIS plugin,QGIS plugin,Validated,Adapter synthetic engine and four-source Jakarta tests passed
OBJ-001,Create a saved raster mosaic from QGIS project layers without leaving Image Mate,REQ-F-005,Functional,The plugin shall add a valid completed mosaic to the Image Mate layer group,AC-005,TC-002,Static contract test,QGIS plugin,QGIS plugin,Implemented,Static contract passed; GUI demo pending
OBJ-001,Create a saved raster mosaic from QGIS project layers without leaving Image Mate,REQ-F-006,Functional,The plugin shall report actionable validation dependency execution and loading failures,AC-006,TC-001;TC-005,Automated test,QGIS plugin,QGIS plugin,Validated,Mid-run shared-drive input removal reproduced and exact missing path is now reported
OBJ-001,Create a saved raster mosaic from QGIS project layers without leaving Image Mate,REQ-NF-001,Non-functional,The plugin shall execute generation through a QGIS background task,AC-007,TC-002,Static contract test,QGIS plugin,QGIS plugin,Implemented,Static contract passed; QGIS task demo pending
OBJ-001,Create a saved raster mosaic from QGIS project layers without leaving Image Mate,REQ-NF-002,Non-functional,The plugin shall lazy-load optional mosaicker dependencies,AC-008,TC-001,Automated test,QGIS plugin,QGIS plugin,Validated,Injected adapter test imports without engine dependencies
OBJ-001,Create a saved raster mosaic from QGIS project layers without leaving Image Mate,REQ-BR-001,Business rule,The MVP shall defer interactive cutline feather and cloud controls,AC-009,TC-002,Inspection,QGIS plugin,QGIS plugin,Validated,Static inspection passed
OBJ-002,Keep the studio visible and communicate processing progress and status,REQ-F-007,Functional,The studio shall present four step tabs in one persistent dialog,AC-010,TC-007,Static contract test,QGIS plugin,QGIS plugin,Implemented,Static contract passed; GUI demo pending
OBJ-002,Keep the studio visible and communicate processing progress and status,REQ-F-008,Functional,The studio shall navigate validated tabs with Back and Next controls,AC-011,TC-007,Static contract test,QGIS plugin,QGIS plugin,Implemented,Static contract passed; GUI demo pending
OBJ-002,Keep the studio visible and communicate processing progress and status,REQ-F-009,Functional,Finish shall show Processing Results without closing the dialog,AC-012,TC-007,Static contract test,QGIS plugin,QGIS plugin,Implemented,Static contract passed; GUI demo pending
OBJ-002,Keep the studio visible and communicate processing progress and status,REQ-F-010,Functional,Processing Results shall display phase and tile progress from 0 to 100 percent,AC-013,TC-006,Automated test,QGIS plugin,QGIS plugin,Validated,Progress parser and callback tests passed
OBJ-002,Keep the studio visible and communicate processing progress and status,REQ-F-011,Functional,Processing Results shall append timestamped engine and plugin status messages,AC-014,TC-006;TC-007,Automated and static test,QGIS plugin,QGIS plugin,Validated,Callback and static wiring tests passed
OBJ-002,Keep the studio visible and communicate processing progress and status,REQ-BR-002,Business rule,The studio shall prevent closing while processing and enable Close at terminal status,AC-015,TC-007,Static contract test,QGIS plugin,QGIS plugin,Implemented,Static contract passed; GUI demo pending
OBJ-002,Keep the studio visible and communicate processing progress and status,REQ-F-012,Functional,The Output tab shall provide an Include debug information checkbox that controls detailed diagnostics in Processing Results,AC-016,TC-008,Automated and static test,QGIS plugin,QGIS plugin,Validated,Debug callback and checkbox wiring tests passed
OBJ-002,Keep the studio visible and communicate processing progress and status,REQ-NF-003,Non-functional,When debug information is enabled the plugin shall report every processing lifecycle boundary,AC-017,TC-008,Automated and static test,QGIS plugin,QGIS plugin,Validated,Service lifecycle and task boundary assertions passed
OBJ-002,Keep the studio visible and communicate processing progress and status,REQ-NF-004,Non-functional,The plugin shall transfer worker logs without directly invoking dialog signals from the worker thread,AC-018,TC-009,Automated and static test,QGIS plugin,QGIS plugin,Validated,Real OSGeo4W QgsTask buffer bridge passed
OBJ-002,Keep the studio visible and communicate processing progress and status,REQ-F-013,Functional,The studio shall display the stored exception when a task terminates without its normal callback,AC-019,TC-009,Static contract test,QGIS plugin,QGIS plugin,Implemented,Termination fallback wiring passed; GUI demo pending
OBJ-003,Keep plugin artifacts portable across user home directories,REQ-NF-005,Non-functional,QGIS plugin text artifacts shall not contain the developer-specific workstation username,AC-020,TC-010,Automated test,QGIS plugin,QGIS plugin,Validated,Tracked and ignored text scan passed with zero matches
